STATENAME,ST_CASE,VEH_NO,VIOLATION,VIOLATIONNAME
California,62977,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,62978,1,1,Manslaughter or homicide
California,62989,1,1,Manslaughter or homicide
California,62990,1,7,"Hit-and-run, fail to stop after crash"
California,62990,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,63020,1,1,Manslaughter or homicide
California,63020,1,7,"Hit-and-run, fail to stop after crash"
California,63020,1,12,Driving while impaired
California,63020,1,71,Driving while license withdrawn
California,63024,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,63043,2,95,No Driver Present/Unknown if Driver Present
California,63043,3,95,No Driver Present/Unknown if Driver Present
California,63052,1,95,No Driver Present/Unknown if Driver Present
California,63062,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,63064,1,1,Manslaughter or homicide
California,63074,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,63075,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,63093,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,63110,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,63117,1,95,No Driver Present/Unknown if Driver Present
California,63122,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,63128,1,21,Racing
California,63129,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,63142,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,63149,1,1,Manslaughter or homicide
California,63153,1,9,Serious violation resulting in death
California,63153,1,72,Other driver license violations
California,63168,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,63173,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,63174,1,95,No Driver Present/Unknown if Driver Present
California,63176,1,52,"Driving on left, wrong side of road, generally"
California,63193,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,63193,1,23,Speed greater than reasonable & prudent (not necessarily over the limit)
California,63196,1,12,Driving while impaired
California,63196,1,69,"Lane violations, generally"
California,63198,1,95,No Driver Present/Unknown if Driver Present
California,63204,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,63227,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,63232,2,95,No Driver Present/Unknown if Driver Present
California,63232,3,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,63275,1,1,Manslaughter or homicide
California,63277,1,1,Manslaughter or homicide
California,63295,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,63295,1,52,"Driving on left, wrong side of road, generally"
California,63301,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,63301,2,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,63302,2,95,No Driver Present/Unknown if Driver Present
California,63307,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,63319,1,1,Manslaughter or homicide
California,63319,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,63325,2,95,No Driver Present/Unknown if Driver Present
California,63334,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,63340,1,1,Manslaughter or homicide
California,63340,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,63353,2,29,"Speed related violations, generally"
California,63359,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,63360,2,95,No Driver Present/Unknown if Driver Present
California,63361,2,95,No Driver Present/Unknown if Driver Present
California,63363,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,63366,1,7,"Hit-and-run, fail to stop after crash"
California,63367,1,1,Manslaughter or homicide
California,63367,1,9,Serious violation resulting in death
California,63367,1,12,Driving while impaired
California,63368,2,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,63370,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,63383,2,95,No Driver Present/Unknown if Driver Present
California,63408,1,1,Manslaughter or homicide
California,63425,2,95,No Driver Present/Unknown if Driver Present
California,63428,2,95,No Driver Present/Unknown if Driver Present
California,63436,1,7,"Hit-and-run, fail to stop after crash"
California,63441,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,63447,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,63448,1,7,"Hit-and-run, fail to stop after crash"
California,63455,2,2,Willful reckless driving; driving to endanger; negligent driving
California,63455,2,9,Serious violation resulting in death
California,63455,2,23,Speed greater than reasonable & prudent (not necessarily over the limit)
California,63456,1,1,Manslaughter or homicide
California,63456,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,63467,2,7,"Hit-and-run, fail to stop after crash"
California,63500,1,1,Manslaughter or homicide
California,63522,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,63532,1,95,No Driver Present/Unknown if Driver Present
California,63544,1,69,"Lane violations, generally"
California,63551,1,48,Enter intersection when space insufficient
California,63560,2,95,No Driver Present/Unknown if Driver Present
California,63563,1,12,Driving while impaired
California,63575,1,1,Manslaughter or homicide
California,63577,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,63583,1,9,Serious violation resulting in death
California,63586,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,63592,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,63595,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,63642,1,23,Speed greater than reasonable & prudent (not necessarily over the limit)
California,63656,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,63658,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,63659,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,63666,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,63670,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,63674,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,63687,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,63689,2,95,No Driver Present/Unknown if Driver Present
California,63694,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,63704,1,12,Driving while impaired
California,63709,1,1,Manslaughter or homicide
California,63712,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,63713,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,63715,1,7,"Hit-and-run, fail to stop after crash"
California,63721,1,95,No Driver Present/Unknown if Driver Present
California,63721,2,95,No Driver Present/Unknown if Driver Present
California,63721,4,95,No Driver Present/Unknown if Driver Present
California,63724,1,37,Fail to obey stop sign
California,63736,2,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,63736,2,19,"Alcohol, drug, or impairment violations generally"
California,63736,2,79,Non-moving violations generally
California,63743,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,63754,1,9,Serious violation resulting in death
California,63786,2,95,No Driver Present/Unknown if Driver Present
California,63791,1,1,Manslaughter or homicide
California,63807,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,63810,1,1,Manslaughter or homicide
California,63814,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,63814,1,52,"Driving on left, wrong side of road, generally"
California,63817,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,63857,1,1,Manslaughter or homicide
California,63857,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,63857,1,15,Illegal possession of alcohol or drugs
California,63857,1,19,"Alcohol, drug, or impairment violations generally"
California,63865,1,1,Manslaughter or homicide
California,63887,2,95,No Driver Present/Unknown if Driver Present
California,63892,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,63893,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,63894,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,63895,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,63896,2,95,No Driver Present/Unknown if Driver Present
California,63904,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,63912,1,7,"Hit-and-run, fail to stop after crash"
California,63912,1,72,Other driver license violations
California,63912,1,76,Driving uninsured vehicle
California,63917,1,1,Manslaughter or homicide
California,63922,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,63924,1,1,Manslaughter or homicide
California,63932,2,95,No Driver Present/Unknown if Driver Present
California,63951,1,1,Manslaughter or homicide
California,63951,1,7,"Hit-and-run, fail to stop after crash"
California,63954,1,1,Manslaughter or homicide
California,63954,1,2,Willful reckless driving; driving to endanger; negligent driving
California,63954,1,5,Fleeing or eluding police
California,63954,1,12,Driving while impaired
California,63954,1,23,Speed greater than reasonable & prudent (not necessarily over the limit)
California,63954,1,31,Fail to stop for red signal
California,63960,1,1,Manslaughter or homicide
California,63960,1,2,Willful reckless driving; driving to endanger; negligent driving
California,63960,1,5,Fleeing or eluding police
California,63960,1,9,Serious violation resulting in death
California,63960,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,63962,1,7,"Hit-and-run, fail to stop after crash"
California,63962,1,9,Serious violation resulting in death
California,63962,1,12,Driving while impaired
California,63962,1,69,"Lane violations, generally"
California,63962,1,72,Other driver license violations
California,63965,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,63969,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,63971,1,7,"Hit-and-run, fail to stop after crash"
California,63988,1,1,Manslaughter or homicide
California,64000,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,64000,2,95,No Driver Present/Unknown if Driver Present
California,64001,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,64004,1,97,Not Reported
California,64008,2,97,Not Reported
California,64021,1,7,"Hit-and-run, fail to stop after crash"
California,64031,2,95,No Driver Present/Unknown if Driver Present
California,64031,3,95,No Driver Present/Unknown if Driver Present
California,64031,4,95,No Driver Present/Unknown if Driver Present
Colorado,80001,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80007,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
Colorado,80007,1,22,Speeding (above the speed limit)
Colorado,80016,1,1,Manslaughter or homicide
Colorado,80016,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
Colorado,80017,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80025,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80027,1,31,Fail to stop for red signal
Colorado,80030,1,97,Not Reported
Colorado,80034,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80035,1,97,Not Reported
Colorado,80037,1,2,Willful reckless driving; driving to endanger; negligent driving
Colorado,80037,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
Colorado,80038,1,23,Speed greater than reasonable & prudent (not necessarily over the limit)
Colorado,80040,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80042,1,2,Willful reckless driving; driving to endanger; negligent driving
Colorado,80042,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
Colorado,80047,1,1,Manslaughter or homicide
Colorado,80053,1,97,Not Reported
Colorado,80058,1,97,Not Reported
Colorado,80059,1,58,Following too closely
Colorado,80060,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80060,2,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80061,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80066,1,97,Not Reported
Colorado,80069,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80070,1,2,Willful reckless driving; driving to endanger; negligent driving
Colorado,80070,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
Colorado,80072,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80073,1,46,Fail to yield generally
Colorado,80074,1,2,Willful reckless driving; driving to endanger; negligent driving
Colorado,80079,1,2,Willful reckless driving; driving to endanger; negligent driving
Colorado,80080,1,1,Manslaughter or homicide
Colorado,80082,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80083,2,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80087,1,1,Manslaughter or homicide
Colorado,80087,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
Colorado,80088,1,2,Willful reckless driving; driving to endanger; negligent driving
Colorado,80092,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80093,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80094,1,97,Not Reported
Colorado,80095,1,1,Manslaughter or homicide
Colorado,80100,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80104,1,46,Fail to yield generally
Colorado,80105,1,46,Fail to yield generally
Colorado,80108,1,37,Fail to obey stop sign
Colorado,80110,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80112,1,97,Not Reported
Colorado,80116,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80119,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80127,1,2,Willful reckless driving; driving to endanger; negligent driving
Colorado,80127,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
Colorado,80130,1,95,No Driver Present/Unknown if Driver Present
Colorado,80131,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80137,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
Colorado,80139,1,2,Willful reckless driving; driving to endanger; negligent driving
Colorado,80140,2,73,"Commercial driver violations (log book, hours, permits carried)"
Colorado,80143,1,1,Manslaughter or homicide
Colorado,80143,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
Colorado,80150,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80151,1,1,Manslaughter or homicide
Colorado,80151,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
Colorado,80152,1,2,Willful reckless driving; driving to endanger; negligent driving
Colorado,80153,1,2,Willful reckless driving; driving to endanger; negligent driving
Colorado,80153,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
Colorado,80157,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80161,1,2,Willful reckless driving; driving to endanger; negligent driving
Colorado,80162,1,97,Not Reported
Colorado,80163,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80164,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80167,1,97,Not Reported
Colorado,80172,1,2,Willful reckless driving; driving to endanger; negligent driving
Colorado,80174,1,97,Not Reported
Colorado,80175,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80184,1,1,Manslaughter or homicide
Colorado,80184,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
Colorado,80191,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80193,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80194,1,2,Willful reckless driving; driving to endanger; negligent driving
Colorado,80195,1,2,Willful reckless driving; driving to endanger; negligent driving
Colorado,80199,3,72,Other driver license violations
Colorado,80202,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
Colorado,80202,1,72,Other driver license violations
Colorado,80203,1,2,Willful reckless driving; driving to endanger; negligent driving
Colorado,80206,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80208,1,1,Manslaughter or homicide
Colorado,80209,1,2,Willful reckless driving; driving to endanger; negligent driving
Colorado,80209,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
Colorado,80209,1,72,Other driver license violations
Colorado,80210,1,97,Not Reported
Colorado,80213,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80217,2,95,No Driver Present/Unknown if Driver Present
Colorado,80218,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80220,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80222,1,2,Willful reckless driving; driving to endanger; negligent driving
Colorado,80222,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
Colorado,80224,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80230,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80231,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80232,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80233,1,1,Manslaughter or homicide
Colorado,80233,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
Colorado,80234,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80236,1,1,Manslaughter or homicide
Colorado,80236,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
Colorado,80242,1,2,Willful reckless driving; driving to endanger; negligent driving
Colorado,80244,2,73,"Commercial driver violations (log book, hours, permits carried)"
Colorado,80248,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80249,1,22,Speeding (above the speed limit)
Colorado,80252,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80254,1,97,Not Reported
Colorado,80256,1,1,Manslaughter or homicide
Colorado,80256,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
Colorado,80257,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80259,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80260,1,1,Manslaughter or homicide
Colorado,80260,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
Colorado,80261,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
Colorado,80263,1,73,"Commercial driver violations (log book, hours, permits carried)"
Colorado,80268,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80271,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80273,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80274,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80275,1,1,Manslaughter or homicide
Colorado,80277,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80278,1,97,Not Reported
Colorado,80285,1,1,Manslaughter or homicide
Colorado,80285,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
Colorado,80291,1,46,Fail to yield generally
Colorado,80297,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80298,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80299,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80305,1,58,Following too closely
Colorado,80306,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80308,1,2,Willful reckless driving; driving to endanger; negligent driving
Colorado,80310,1,1,Manslaughter or homicide
Colorado,80310,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
Colorado,80317,1,2,Willful reckless driving; driving to endanger; negligent driving
Colorado,80322,1,2,Willful reckless driving; driving to endanger; negligent driving
Colorado,80325,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80326,1,97,Not Reported
Colorado,80330,1,1,Manslaughter or homicide
Colorado,80330,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
Colorado,80331,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80331,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
Colorado,80334,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80338,1,69,"Lane violations, generally"
Colorado,80339,1,1,Manslaughter or homicide
Colorado,80339,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
Colorado,80340,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80341,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80342,1,1,Manslaughter or homicide
Colorado,80342,1,7,"Hit-and-run, fail to stop after crash"
Colorado,80342,1,8,"Fail to give aid, info., wait for police after crash"
Colorado,80342,1,22,Speeding (above the speed limit)
Colorado,80342,1,72,Other driver license violations
Colorado,80342,1,79,Non-moving violations generally
Colorado,80343,1,69,"Lane violations, generally"
Colorado,80346,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80347,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80349,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80350,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80356,1,2,Willful reckless driving; driving to endanger; negligent driving
Colorado,80356,2,72,Other driver license violations
Colorado,80358,1,1,Manslaughter or homicide
Colorado,80358,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
Colorado,80361,1,2,Willful reckless driving; driving to endanger; negligent driving
Colorado,80362,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80366,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80368,1,1,Manslaughter or homicide
Colorado,80370,1,97,Not Reported
Colorado,80372,1,97,Not Reported
Colorado,80373,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
Colorado,80379,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80380,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80382,1,2,Willful reckless driving; driving to endanger; negligent driving
Colorado,80385,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80386,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80391,1,31,Fail to stop for red signal
Colorado,80392,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80393,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80395,1,1,Manslaughter or homicide
Colorado,80396,1,2,Willful reckless driving; driving to endanger; negligent driving
Colorado,80397,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80398,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80400,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80401,1,1,Manslaughter or homicide
Colorado,80401,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
Colorado,80402,1,97,Not Reported
Colorado,80403,1,1,Manslaughter or homicide
Colorado,80405,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80410,1,2,Willful reckless driving; driving to endanger; negligent driving
Colorado,80410,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
Colorado,80411,1,1,Manslaughter or homicide
Colorado,80411,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
Colorado,80411,2,72,Other driver license violations
Colorado,80412,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
Colorado,80414,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80416,1,97,Not Reported
Colorado,80419,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80421,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80422,1,2,Willful reckless driving; driving to endanger; negligent driving
Colorado,80422,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
Colorado,80424,1,2,Willful reckless driving; driving to endanger; negligent driving
Colorado,80430,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80433,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80447,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80448,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80448,1,7,"Hit-and-run, fail to stop after crash"
Colorado,80448,1,72,Other driver license violations
Colorado,80451,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80452,1,1,Manslaughter or homicide
Colorado,80453,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80455,1,95,No Driver Present/Unknown if Driver Present
Colorado,80456,1,97,Not Reported
Colorado,80458,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80459,1,95,No Driver Present/Unknown if Driver Present
Colorado,80460,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80460,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
Colorado,80462,1,97,Not Reported
Colorado,80469,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
Colorado,80470,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80470,2,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80472,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80473,1,97,Not Reported
Colorado,80478,2,95,No Driver Present/Unknown if Driver Present
Colorado,80478,3,95,No Driver Present/Unknown if Driver Present
Colorado,80478,4,95,No Driver Present/Unknown if Driver Present
Colorado,80478,5,95,No Driver Present/Unknown if Driver Present
Colorado,80480,1,1,Manslaughter or homicide
Colorado,80485,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
Colorado,80485,1,37,Fail to obey stop sign
Colorado,80489,1,39,Fail to obey traffic control device
Colorado,80493,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80498,1,1,Manslaughter or homicide
Colorado,80498,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
Colorado,80506,2,73,"Commercial driver violations (log book, hours, permits carried)"
Colorado,80507,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80508,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80510,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80511,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80512,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80514,1,97,Not Reported
Colorado,80516,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80517,1,1,Manslaughter or homicide
Colorado,80518,1,2,Willful reckless driving; driving to endanger; negligent driving
Colorado,80519,1,2,Willful reckless driving; driving to endanger; negligent driving
Colorado,80525,1,97,Not Reported
Colorado,80526,1,4,"Inattentive, careless, improper driving, driving without due care"
Colorado,80526,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
Colorado,80531,1,4,"Inattentive, careless, improper driving, driving without due care"
